,show_id,type,title,director,cast,country,date_added,release_year,duration,description,genre
1336,s1337,TV Show,Chill with Bob Ross,,Bob Ross,,"December 1, 2016",1994,1,Iconic artist and master of relaxation Bob Ross demonstrates the process of creating wintry scenes in these episodes dedicated to the season.,TV Shows
1338,s1339,TV Show,Chilling Adventures of Sabrina,,"Kiernan Shipka, Ross Lynch, Miranda Otto, Lucy Davis, Chance Perdomo, Michelle Gomez, Richard Coyle, Jaz Sinclair, Lachlan Watson, Tati Gabrielle, Adeline Rudolph, Abigail Cowen, Gavin Leatherwood, Bronson Pinchot",United States,"December 31, 2020",2020,4,"Magic and mischief collide as half-human, half-witch Sabrina navigates between two worlds: mortal teen life and her family's legacy, the Church of Night.",TV Horror
1341,s1342,TV Show,Chip and Potato,,"Abigail Oliver, Andrea Libman, Briana Buckmaster, Brian Dobson, Chance Hurstfield, Dominic Good, Emma Jayne Maas, Evan Byarushengo, Scotia Anderson, Alessandro Juliani",United Kingdom,"November 29, 2019",2019,2,"Lovable pug Chip starts kindergarten, makes new friends and tries new things – with a little help from Potato, her secret mouse pal.",Kids
1346,s1347,TV Show,Chocolate,,"Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo",South Korea,"November 30, 2019",2019,1,"Brought together by meaningful meals in the past and present, a doctor and a chef are reacquainted when they begin working at a hospice ward.",International TV
1350,s1351,TV Show,Chosen,,"Lan Cheng-Lung, Deng JiaJia, Han Pengyi, Sam Hayden-Smith, Jenny Zhou, Paul He, Nathaniel Kelly",China,"October 17, 2019",2019,2,"When a mysterious box arrives at his door, a doctor and father is forced to participate in a twisted killing game, or risk losing everything.",Crime TV
1359,s1360,TV Show,Christiane Amanpour: Sex & Love Around the World,,,United States,"September 30, 2018",2018,1,"A contextual, acculturated dive into how adults in six, big global cities celebrate love and accentuate sex. CNN's Christiane Amanpour reports.",Docuseries
1376,s1377,TV Show,"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",,,,"October 18, 2019",2019,1,This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.,Kids
1377,s1378,TV Show,ChuChu TV Nursery Rhymes & Kids Songs (Hindi),,,India,"April 18, 2020",2019,1,This educational series for tiny tots features a toe-tapping spin on nursery rhymes with upbeat tunes and a diverse set of easy-to-follow lessons.,Kids
1382,s1383,TV Show,Chuck Chicken,,,Malaysia,"November 15, 2017",2017,1,"On the island of Rocky Perch, security company owner Chuck Adoodledoo and his friends provide kung fu-style protection for their fellow bird citizens.",Kids
1386,s1387,TV Show,Churchill’s Secret Agents: The New Recruits,,,United Kingdom,"June 29, 2018",2018,1,"In this history-steeped reality series, 14 contestants undergo the same rigorous four-day selection process as Britain's top-secret World War II spies.",British TV
1389,s1390,TV Show,Cinderella and the Four Knights,,"Jung Il-woo, Ahn Jae-hyeon, Park So-dam, Lee Jung-shin, Kim Yong-geon, Choi Min, Son Na-eun",South Korea,"December 15, 2019",2016,1,"Catching the eye of a wealthy gentleman, spunky Ha-won gets hired to live with his three immature grandsons so she can whip them into shape.",International TV
1390,s1391,TV Show,Cinta 100KG,,"Sherry Alhadad, Sharifah Amani, Fezrul Khan, Ungku Hariz, Ruzana Ibrahim, Zain Saidan, Cristina Suzanne, Safia Hanifah",,"May 8, 2019",2016,1,"Two female friends, each with confidence issues, help each other search for true love and deal with their romantic rivals.",International TV
1391,s1392,TV Show,Cinta Iris,,"Raja Ilya, Nazim Othman, Zain Hamid, Ungku Ismail, Tunku Hanis",,"May 8, 2019",2015,1,"Dedicated engineering student Iris succumbs to love and marries, but fate holds both tragedies and triumphs for her personal and professional life.",International TV
1392,s1393,TV Show,Cinta Si Wedding Planner,,"Mira Filzah, Ady Putra, Fadlan Hazim, Shima Anuar, Nazeera Sardi, Dian P. Ramlee, Wan Sharmila, Rosnah Johari, Idris Md Diah",,"May 8, 2019",2015,1,A wedding planner and an ex-Marine both have been unlucky in love. But a chance meeting and a spat over a parking space soon change all that.,International TV
1393,s1394,TV Show,Cinta Teruna Kimchi,,"Nazim Othman, Johan As'ari, Nur Risteena, Niena Baharun",,"May 8, 2019",2016,1,"When a young man determines to discover his father's true identity, he faces unexpected realizations that shake his sense of self.",International TV
1399,s1400,TV Show,City in the Sky,,,United Kingdom,"October 1, 2017",2016,1,"This series explores the magnitude and scale of modern air travel, and the challenges faced by those responsible for its smooth functioning.",British TV
1404,s1405,TV Show,Civilizations,,,United Kingdom,"October 1, 2018",2018,1,"Expanding Kenneth Clark's 1969 ""Civilisation"" series for a new generation, this reboot explores the art of cultures around the world, throughout time.",British TV
1406,s1407,TV Show,CLANNAD,,"Yuichi Nakamura, David Matranga, Mai Nakahara, Luci Christian, Ryo Hirohashi, Shelley Calene-Black, Ai Nonaka, Hilary Haag, Akemi Kanda, Brittney Karbowski, Houko Kuwashima, Kaytha Coker, Mamiko Noto, Emily Neves, Daisuke Sakaguchi, Greg Ayres",Japan,"November 1, 2019",2008,2,Maladjusted high school student Tomoya's life begins to change when he befriends his classmate Nagisa and several other eccentric girls.,Anime Series
1412,s1413,TV Show,Classic Legends,,Javed Akhtar,India,"May 15, 2017",2012,1,This documentary series explores the glamour of Bollywood through the stories of the men and women who have illuminated its screens.,Docuseries
1413,s1414,TV Show,Cleo & Cuquin,Fernando Moro,,Spain,"July 1, 2020",2020,2,Spirited sister-brother duo Cleo and Cuquín try on different professions each day to help their other siblings solve problems and enjoy new adventures.,Kids
1415,s1416,TV Show,Cleverman,,"Hunter Page-Lochard, Rob Collins, Deborah Mailman, Ryan Corr, Stef Dawson, Iain Glen, Frances O'Connor, Tasma Walton, Tony Briggs",Australia,"September 5, 2020",2017,1,"In the near future, physically powerful beings known as ""Hairies"" struggle to survive in a segregated society dominated by hostile humans.",TV Dramas
1417,s1418,TV Show,Click for Murder,,Donal MacIntyre,United Kingdom,"September 17, 2017",2017,1,Crime journalist Donal MacIntyre reveals how deadly the internet can be as he dissects the technological methods behind heinous acts.,British TV
1422,s1423,TV Show,Close Your Eyes Before It’s Dark,,"Bryan Shu-Hao Chang, Jian Man-shu, Yen Tsao, Sun Ke-fang, Allen Chen, Jake Hsu, Chu Sheng-ping, Blue Lan",Taiwan,"August 1, 2017",2016,1,"While vacationing at a mountain cabin, a group of longtime friends uncovers an old scandal that could have deadly consequences.",Crime TV
1430,s1431,TV Show,Club de Cuervos Presents: The Ballad of Hugo Sánchez,,"Jesús Zavala, Ianis Guerrero, Mauro Mauad, Renato Gutz, Raúl Briones, Markin López, Guillermo Dorantes, Martha Claudia Moreno, Aldo Escalante, Sergio Mayer, Paola Moreno, Pedro Miguel Arce",United States,"June 18, 2018",2018,1,Chava Iglesias's doting personal assistant Hugo Sánchez is tasked with leading Club de Cuervos to victory in Nicaragua – if only his mom will let him.,International TV
1431,s1432,TV Show,Club Friday The Series 6,,"Puttichai Kasetsin, Kongtoranin Lalana, Preechaya Pongthananikorn",,"March 9, 2019",2015,9,"Based on a Thai radio show that gives love advice to callers, this series dramatizes stories of infidelity, love triangles, sexual identity and more.",International TV
1432,s1433,TV Show,Club Friday The Series 7,,"Sornram Tappituk, Amy Amika Klinprathum, Tanya Liyah, Shaun Jindachote, Four Sakolrat Wornurai, Toomtam Yuthana Puengklarng, Monchanok Saengchaipiangpen, Nat Myria Benedetti, Oil Thana Suttikamul, View Wannarot Sontichai, Pimthong Washirakom",,"June 18, 2018",2016,7,More confessional tales of love and heartbreak play out in this next installment of the popular Thai TV series based on a real-life call-in radio show.,International TV
1433,s1434,TV Show,Club Friday The Series 8,,"Chutavuth Pattarakampol, Focus Jirakul, Sattaphong Phiangphor, Toni Rakkaen, Paula Taylor, Virithipa Phakdeeprasong, Pakkaramai Potranan",,"February 2, 2019",2017,8,"The eighth installment of this popular Thai series, based on a real-life call-in radio show, dramatizes personal stories of romance and heartbreak.",International TV
1434,s1435,TV Show,Club Friday To Be Continued - Friend & Enemy,,"Wanida Termthanaporn, Apinya Sakuljaroensuk, Golf Pichaya Nitipaisankul, Thassapak Hsu",,"April 20, 2018",2016,1,"A love triangle spirals out of control, wreaking havoc on a couple's relationship and a friendship between two women.",International TV
1435,s1436,TV Show,Club Friday To Be Continued - My Beautiful Tomboy,,"Puttichai Kasetsin, Lalana Kongtoranin",,"April 13, 2018",2016,1,"A change in sexual identity complicates young Meen's relationships, while memories of a past romance remain fresh.",International TV
1436,s1437,TV Show,Club Friday To Be Continued - The Promise,,"Jirayu La-ongmanee, Focus Jirakul",,"April 20, 2018",2016,1,"Two young lovers vow to stay friends through thick and thin, but separation tests their bond until fate allows them to reunite.",International TV
1437,s1438,TV Show,Club of Crows,,"Luis Gerardo Méndez, Mariana Treviño, Stephanie Cayo, Daniel Giménez Cacho, Alosian Vivancos, Antonio de la Vega, Ianis Guerrero, Juan Pablo de Santiago, Joaquín Ferreira, Said Sandoval, Andrés Pardave, Sofía Niño de Rivera, Eileen Yañez, Gutemberg Brito, Claudia Vega, Verónica Terán, Jesús Zavala, Gustavo Ganem, Ricardo Polanco, Emilio Guerrero, Luis Rábago, Guillermo Dorantes, Richie Mestre, Sofía Sisniega, Aldo Escalante, Juan Luis Orendain, Marcela Álvarez",Mexico,"January 25, 2019",2019,4,A brother and sister battle high expectations and each other after inheriting a soccer team. A series from the creators of “Nosotros los Nobles.”,International TV
1439,s1440,TV Show,Coach Snoop,,Snoop Dogg,United States,"February 2, 2018",2018,1,"Fueled by his own rough upbringing, Snoop Dogg creates a youth football league to keep at-risk kids off the streets and focused on their goals.",Docuseries
1440,s1441,TV Show,Cobra Kai,,"Ralph Macchio, William Zabka, Xolo Maridueña, Martin Kove, Mary Mouser, Tanner Buchanan, Courtney Henggeler, Jacob Bertrand",United States,"January 1, 2021",2021,3,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films.",TV Action
1441,s1442,TV Show,Cocaine,,,United Kingdom,"August 1, 2016",2005,1,"Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords.",British TV
1442,s1443,TV Show,Cocaine Coast,,"Javier Rey, Tristán Ulloa, Antonio Durán 'Morris', Carlos Blanco, Manuel Lourenzo, Jana Pérez, Xosé Antonio Touriñán, Isabel Naveira, Eva Fernández, Juan Pablo Shuk",Spain,"August 3, 2018",2018,1,"In 1980s Galicia, Spain, a young fisherman becomes a prosperous cocaine smuggler by providing Latin American suppliers with a European entry point.",Crime TV
1444,s1445,TV Show,Cocomelon,,,United States,"December 18, 2020",2020,2,"Learn letters, numbers, animal sounds and more with J.J. in this edutaining series that brings fun times with nursery rhymes for the whole family!",Kids
1445,s1446,TV Show,Cocomong,,"Jung Sun-hye, Yang Jeong-hwa, Kim Jang, Ryoo Jeom-hee, Hong Bum-ki, Shin Yong-woo",United States,"December 15, 2019",2015,2,"What's in your fridge? In sunny Refrigerator Land, everyday ingredients transform into animal friends who love a good adventure.",Kids
1447,s1448,TV Show,Code Geass: Lelouch of the Rebellion,,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japan,"May 1, 2019",2008,2,A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.,Anime Series
1448,s1449,TV Show,Code Lyoko,,"Raphaelle Bruneau, Sophie Landresse, Marie-Line Landerwyn, Géraldine Frippiat, Carole Baillien, Bruno Mullenaerts, Frédéric Meaux",France,"October 1, 2020",2007,4,"After discovering a parallel universe hidden inside a supercomputer, four students must stop a renegade virus from destroying the secret world.",Kids
1454,s1455,TV Show,Cold Case Files,,,United States,"September 15, 2019",2017,1,Masterful detectives utilize forensic science and criminal psychology to re-examine long-standing cases.,Crime TV
1455,s1456,TV Show,Cold Case Files Classic,,Bill Kurtis,United States,"September 15, 2020",1999,1,"Through forensic science and criminal psychology, an elite breed of detectives reexamine long-unsolved crimes to deliver justice and the truth.",Crime TV
1462,s1463,TV Show,Collateral,,"Carey Mulligan, John Simm, Nicola Walker, Billie Piper, Nathaniel Martello-White, Jeany Spark, Hayley Squires, Ben Miles, Saskia Reeves, Ahd",United Kingdom,"March 9, 2018",2018,1,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies.",British TV
1463,s1464,TV Show,College Romance,,"Manjot Singh, Apoorva Arora, Keshav Sadhna, Shreya Mehta, Hira Ashar, Gagan Arora",India,"October 1, 2019",2018,1,"Three best friends look for love, laughs and some lifelong memories while attending college together.",International TV
1465,s1466,TV Show,Colony,,"Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Amanda Righetti, Tory Kittles, Isabella Crovetti, Alex Neustaedter",United States,"May 2, 2019",2018,3,"When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son.",TV Action
1466,s1467,TV Show,Color of Woman,,"Jae Hee, Soo-kyung Lee, So-yi Yoon, Ji-ho Shim, Sang-Myeon Park, Joo-young Kim",South Korea,"December 15, 2016",2012,1,"Two women at a cosmetics company compete for love and success. One uses her brain and diligence, while the other works her beauty and charm.",International TV
1470,s1471,TV Show,Comedians in Cars Getting Coffee,Jerry Seinfeld,Jerry Seinfeld,United States,"July 19, 2019",2019,6,"Jerry Seinfeld's roving talk show combines coffee, laughs and vintage cars into quirky, caffeine-fueled adventures with the sharpest minds in comedy.",Stand-Up
1471,s1472,TV Show,COMEDIANS of the world,,"Neal Brennan, Chris D'Elia, Nicole Byer, Nick Swardson, DeAnne Smith, Ivan Decker, Dave Merheje, K. Trevor Wilson, Joel Dommett, Mae Martin, Nish Kumar, Ellie Taylor, Urzila Carlson, Joel Creasey, Nazeem Hussain, Cal Wilson, Riaad Moosa, Tumi Morake, Loyiso Gola, Loyiso Madinga, Atul Khatri, Aditi Mittal, Amit Tandon, Franco Escamilla, Hugo El Cojo Feliz, Gaby Llanas, Enissa Amani, Ilka Bessin, Kaya Yanar, Thiago Ventura, Mhel Merrer, Afonso Padilha, Shirley Souagnon, Jason Brokerss, Tania Dutel, Donel Jack'sman, Ibraheem Alkhairallah, Rawsan Hallak, Adi Khalefa, Moayad Alnefaie, Louis-José Houde, François Bellefeuille, Katherine Levac, Adib Alkhalidey, Martijn Koning, Soundos El Ahmadi, Rayen Panday",United States,"January 1, 2019",2019,13,This global stand-up comedy series features a diverse set of comics from 13 regions bringing their perspectives on what's funny around the world.,Stand-Up
1472,s1473,TV Show,Comedy Bang! Bang!,,"Scott Aukerman, Reggie Watts",United States," December 28, 2016",2016,5,"Scott Aukerman brings his popular podcast Comedy Bang! Bang! to television, along with his co-host and bandleader, Reggie Watts.",Stand-Up
1473,s1474,TV Show,Comedy High School,,"Ram Kapoor, Gopal Dutt, Paritosh Tripathi, Krishna Bhatt, Jasmeet Bhatia, Deepak Dutta, Parvati Sehgal, Surleen Kaur",,"July 1, 2018",2018,1,"Featuring goofy sketches and celebrity appearances, this offbeat stage show follows an assortment of oddball characters at an eccentric high school.",International TV
1475,s1476,TV Show,Community,,"Ken Jeong, Jim Rash, Donald Glover, Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie, Chevy Chase, Yvette Nicole Brown",United States,"April 1, 2020",2015,6,"When his degree is found bogus, lawyer Jeff Winger is sent back to college, where he meets students and teachers with credentials as dubious as his.",TV Comedies
1479,s1480,TV Show,Conan Without Borders,,,United States,"December 31, 2018",2018,1,Late-night talk show host Conan O'Brien hits the road in this special that brings him and his sense of humor to far-flung destinations.,Docuseries
1483,s1484,TV Show,Connected,,Latif Nasser,United Kingdom,"August 2, 2020",2020,1,"Science journalist Latif Nasser investigates the surprising and intricate ways in which we are connected to each other, the world and the universe.",Docuseries
1487,s1488,TV Show,Conspiracy,,Mark Bazeley,United Kingdom,"September 1, 2016",2015,1,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.",British TV
1488,s1489,TV Show,Containment,,"David Gyasi, Christina Marie Moses, Chris Wood, Kristen Gutoskie, Claudia Black, George Young, Hanna Mangan Lawrence, Trevor St. John",United States,"October 21, 2016",2016,1,"When a ferocious contagion sweeps through Atlanta, authorities impose a precarious quarantine on the city while scrambling to find a cure.",TV Dramas
1490,s1491,TV Show,Control Z,,"Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuña, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino",Mexico,"May 22, 2020",2020,1,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",International TV
1491,s1492,TV Show,Conversations with a Killer: The Ted Bundy Tapes,,,United States,"January 24, 2019",2019,1,"Present-day interviews, archival footage and audio recordings made on death row form a searing portrait of notorious serial killer Ted Bundy.",Crime TV
1494,s1495,TV Show,Cooked,,Michael Pollan,United States,"February 19, 2016",2016,1,"As he tries his hand at baking, brewing and braising, acclaimed food writer Michael Pollan explores how cooking transforms food and shapes our world.",Docuseries
1495,s1496,TV Show,Cooked with Cannabis,,"Kelis, Leather Storrs",United States,"April 20, 2020",2020,1,"Chefs compete to get the hosts and special guests high on elevated cannabis cuisine with their artful use of leafy herb, THC infusions and CBD sauces.",Reality TV
1496,s1497,TV Show,Cooking on High,,"Josh Leyva, Ngaio Bealum",United States,"June 22, 2018",2018,1,"In the first-ever competitive cannabis cooking show, two chefs prepare mouthwatering marijuana-infused dishes for a panel of very chill celeb judges.",Reality TV
1503,s1504,TV Show,"Coronavirus, Explained",,,United States,"April 26, 2020",2020,1,"In 2020, the world changed. This topical series examines the coronavirus pandemic, the efforts to combat it and ways to manage its mental health toll.",Docuseries
1508,s1509,TV Show,Country Ever After,,,United States,"November 6, 2020",2020,1,"Country artist Coffey Anderson and his wife, hip-hop dancer Criscilla, juggle family life, career goals and tests of faith in this reality series.",Reality TV
1511,s1512,TV Show,Court Justice,,Chris Bourke,Australia,"October 2, 2019",2017,1,"In a bustling local court in Sydney, 12 magistrates preside over different levels of criminal offenses and deliver life-changing verdicts.",Crime TV
1518,s1519,TV Show,Crash Landing on You,,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun, Oh Man-seok, Kim Young-min, Kim Jung-nan, Kim Sun-young, Hwangwoo Seul-hye",South Korea,"December 15, 2019",2019,1,"A paragliding mishap drops a South Korean heiress in North Korea – and into the life of an army officer, who decides he will help her hide.",International TV
1519,s1520,TV Show,Crashing,,"Phoebe Waller-Bridge, Jonathan Bailey, Adrian Scarborough, Damien Molony, Louise Ford, Julie Dray, Amit Shah",United Kingdom,"June 2, 2017",2016,1,"In exchange for low rent, a hodgepodge group of 20-something tenants set up residence as property guards in a disused hospital, where hilarity ensues.",British TV
1522,s1523,TV Show,Crazy Delicious,,"Jayde Adams, Carla Hall, Heston Blumenthal, Niklas Ekstedt",United Kingdom,"June 24, 2020",2020,1,"In this competition show, daring home chefs tempt the food gods with reinvented classics and fanciful feasts in their quest to win a golden apple.",British TV
1523,s1524,TV Show,Crazy Ex-Girlfriend,,"Rachel Bloom, Vincent Rodriguez III, Santino Fontana, Donna Lynne Champlin, Pete Gardner, Vella Lovell, Gabrielle Ruiz, Scott Michael Foster",United States,"April 13, 2019",2019,4,"Still pining for Josh, the boy who dumped her ages ago, whip-smart lawyer Rebecca jettisons her New York life and moves to California to win him back.",Romantic TV
1525,s1526,TV Show,"Crazy, Lovely, Cool",Obi Emelonye,"Enyinna Nwigwe, Adesua Etomi, Uru Eke, Zynnell Zuh, Obi Okolie, Anthony Monjaro, Emmanuel Emelu, Chinonye Chidolue, Lorenzo Menakaya, King Bawa",Nigeria,"December 15, 2019",2018,1,"For a group of charismatic undergraduates, the jolting revelations from a campus blog turn surviving university life into a serious matter.",International TV
1526,s1527,TV Show,Crazyhead,,"Cara Theobold, Susan Wokoma, Riann Steele, Arinzé Kene, Lewis Reeves, Tony Curran",United Kingdom,"December 16, 2016",2016,1,Bowling alley worker Amy and nonconformist Raquel kick some serious demon butt while also facing their inner demons as they navigate their early 20s.,British TV
1529,s1530,TV Show,Creators,,"Fabio Aste, Héctor Segura, Sebastian Rosas",Argentina,"November 1, 2018",2015,2,"Two brilliant scientists discover the hidden virtual city of Creápolis, where citizens have the power to solve problems by believing and creating.",Kids
1532,s1533,TV Show,Creeped Out,,"Victoria Diamond, William Romain, Sydney Wade, Jennifer James, Daniel Ryan, Robert Styles, Rhys Gannon, Maeve Larkin, Margaret Jackman, Katie Proctor, Jonathan Blake, Maximus Evans, Anya Lawrence, Tiffany Elefano, Diya Kittur, Berkley Silverman, Malen Clarkson, Jason Done, Rosina Carbone, Boris Burnell Anderson, Macey Howarth, Rebecca Hanssen, William Haresceugh, Chris Jack, Zita Sattar, Acushla-Tara Kupe, Tillie Amartey, Isabella Pinto, Bella Band, Lola Ogunyemi, Elizabeth Bower, Gianluca Gallucci, Jacob Henshaw, Amelia Curtis, Romy Weltman, Justin Paul Kelly, Jordan Poole, Thamela Mpumlwana, Jake Sim, Leah Choudhry, Daniel Ogbeide-John, Emma Gregory, Rachel Leskovac, Andonis Anthony, Kyle Breitkopf, Julian Richings, Kathryn Emily Douglas",United Kingdom,"October 4, 2019",2019,2,"A masked figure known as ""The Curious"" collects tales of dark magic, otherworldly encounters and twisted technology in this kids anthology series.",British TV
1533,s1534,TV Show,Cricket Fever: Mumbai Indians,,,India,"March 1, 2019",2019,1,Follow Indian Premier League champions Mumbai Indians through the 2018 season in this series featuring insider insights and intense cricket action.,Docuseries
1534,s1535,TV Show,Crime Diaries: Night Out,Felipe Cano,"Sebastián Osorio, Fabiana Medina, Laura Osma, Enrique Carriazo, Julián Román, Juliana Velásquez, Juan Pablo Urrego, Carlos Vergara, Ernesto Campos, Fabio Rubiano, Ernesto Benjumea, Jairo Camargo, Marcela Agudelo",Mexico,"May 3, 2019",2019,1,"After going to a Halloween party, college student Luis Andrés Colmenares is found dead. Was it an accident or murder? Inspired by true events.",Crime TV
1535,s1536,TV Show,Crime Diaries: The Candidate,,"Jorge A. Jiménez, Ilse Salas, Alberto Guerra, Gustavo Sánchez Parra, Jorge Antonio Guerrero, Ari Brickman, Martín Altomaro, Hernán Del Riego, Norma Angélica, Lisa Owen, Eligio Meléndez, Marco Treviño, Pedro de Tavira Egurrola, Leonardo Alonso",Mexico,"March 22, 2019",2019,1,"In 1994, Mexican presidential candidate Luis Donaldo Colosio's assassination sends his dying widow racing to uncover who did it. Based on true events.",Crime TV
1536,s1537,TV Show,Crime Time,,"Augusto Madeira, Érico Brás, Gustavo Machado, Dionisio Neto, Fernanda Vianna, Georgina Castro, Leo Miranda, Marat Descartes, Mauricio Tarcinalli Barros, Sabrina Greve, Sérgio Malheiros",France,"January 31, 2019",2017,1,"Born into poverty and trapped in a grim job as a cop in the favelas, a wannabe actor forges a bloody path to celebrity and wealth. Based on true events.",Crime TV
1537,s1538,TV Show,Criminal Minds,,"Mandy Patinkin, Joe Mantegna, Thomas Gibson, Shemar Moore, Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Paget Brewster, Lola Glaudini, Jennifer Love Hewitt, Jeanne Tripplehorn",United States,"June 30, 2017",2017,12,This intense police procedural follows a group of extraordinary FBI profilers who spend their days getting into the minds of psychopathic criminals.,Crime TV
1538,s1539,TV Show,Criminal: France,,"Margot Bancilhon, Laurent Lucas, Stéphane Jobert, Anne Azoulay, Mhamed Arezki, Sara Giraudeau, Nathalie Baye, Jérémie Renier",,"September 20, 2019",2019,1,"Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance.",Crime TV
1539,s1540,TV Show,Criminal: Germany,,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora",Germany,"September 20, 2019",2019,1,"In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all.",Crime TV
1540,s1541,TV Show,Criminal: Spain,Mariano Barroso,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada",Spain,"September 20, 2019",2019,1,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost.",Crime TV
1541,s1542,TV Show,Criminal: UK,,"Katherine Kelly, Lee Ingleby, Mark Stanley, Rochenda Sandall, Shubham Saraf, Nicholas Pinnock, David Tennant, Hayley Atwell, Youssef Kerkour, Clare-Hope Ashitey, Isabella Laughland",United Kingdom,"September 16, 2020",2020,2,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime.",British TV
1549,s1550,TV Show,Cuckoo,,"Andy Samberg, Taylor Lautner, Greg Davies, Helen Baxendale, Tamla Kari, Tyger Drew-Honey, Esther Smith",United Kingdom,"April 19, 2019",2019,5,"Rachel shocks her proper British parents when she marries an American hippie, but it's just the first in a series of surprises for the family.",British TV
1553,s1554,TV Show,Cupcake & Dino - General Services,,"Justin Collette, Mark Little, Kyle Dooley, Mark Forward, Joris Jarksy, Julie Lemieux, Kayla Lorette, Julie Sype",Canada,"May 3, 2019",2019,2,An enterprising cupcake and his cheerful dinosaur brother take on jobs of all sorts as they work to help friends and strangers in their eccentric city.,Kids
1554,s1555,TV Show,Curon,,"Valeria Bilello, Luca Lionello, Federico Russo, Margherita Morchio, Anna Ferzetti, Alessandro Tedeschi, Juju Di Domenico, Giulio Brizzi, Max Malatesta",Italy,"June 10, 2020",2020,1,"After 17 years, a woman returns home with her teenage twins. When she mysteriously vanishes, her children must reckon with a shadowy family legacy.",International TV
1555,s1556,TV Show,Cursed,,"Katherine Langford, Devon Terrell, Gustaf Skarsgård, Daniel Sharman, Sebastian Armesto, Lily Newmark, Shalom Brune-Franklin, Matt Stokoe, Bella Dayne, Peter Mullan, Emily Coates",United Kingdom,"July 17, 2020",2020,1,"Armed with mysterious powers and a legendary sword, young rebel Nimue joins forces with charming mercenary Arthur on a mission to save her people.",TV Action
1560,s1561,TV Show,Cyborg 009 VS Devilman,,"Jun Fukuyama, Shintaro Asanuma, Haruka Shiraishi, Tomoaki Maeno, M・A・O, Hiroki Touchi, Takeshi Koyama, Yu Mizushima, Hozumi Goda, Ayumu Okamura, Saori Hayami, Satoshi Hino, Johnny Yong Bosch, Bryce Papenbrook, Christine Marie Cabanos, Spike Spencer, Stephanie Sheh, Michael Sinterniklaas, Keith Silverstein, Joey Lotsko, Tony Azzolino, Steve Staley, Cristina Vee, Christopher Corey Smith",Japan,"April 1, 2016",2015,1,"When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo, the worlds of ""Devilman"" and ""Cyborg 009"" meet.",Anime Series
1561,s1562,TV Show,Cyborg 009: Call of Justice,,"Keisuke Koumoto, Risa Taneda, Misato Fukuen, Takuya Sato, Satoshi Hino, Kenji Nomura, Mitsuaki Madono, Setsuji Sato, Haruki Ishiya, Ryo Sugisaki, Yui Makino, Kazuhiko Inoue, Yuko Kaida",Japan,"February 10, 2017",2017,1,"Years after taking up normal lives incognito, the cyborgs are forced to fight again when the superhuman Blessed appear with a plan for humanity.",Anime Series
